epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,846.469,1.07635,1.03756,1.54385,0.12348,0.06685,0.08944,0.0455,2.0954,3.46282,2.59465,0.000193256,0.000193256,0.000193256
44,868.073,1.06244,1.01153,1.52484,0.12419,0.09326,0.10196,0.04912,2.13162,3.50632,2.63136,0.000186524,0.000186524,0.000186524
45,889.6,1.07912,1.01595,1.55924,0.11229,0.05225,0.06348,0.03117,2.20346,3.73913,2.76025,0.000179792,0.000179792,0.000179792
46,911.141,1.04217,0.9968,1.51246,0.10747,0.07135,0.08249,0.04256,2.10411,3.56958,2.63167,0.00017306,0.00017306,0.00017306
47,932.663,1.03756,0.99412,1.50231,0.12238,0.08034,0.09316,0.04404,2.14459,3.5127,2.6415,0.000166328,0.000166328,0.000166328
48,956.814,1.0159,0.94966,1.48138,0.12386,0.07697,0.09134,0.04691,2.13584,3.49909,2.60556,0.000159596,0.000159596,0.000159596
49,980.931,1.04458,0.97212,1.48764,0.09066,0.07303,0.08285,0.03987,2.2148,3.59507,2.70473,0.000152864,0.000152864,0.000152864
50,1005.07,1.01584,0.96034,1.4845,0.12828,0.07416,0.09015,0.04448,2.21366,3.45698,2.6946,0.000146132,0.000146132,0.000146132
51,1029.59,1.00302,0.95261,1.48321,0.15529,0.07805,0.10062,0.05245,2.06238,3.40094,2.60965,0.0001394,0.0001394,0.0001394
52,1053.49,1.00198,0.94188,1.48193,0.10243,0.08483,0.09017,0.04583,2.13331,3.4523,2.63355,0.000132668,0.000132668,0.000132668
53,1077.8,1.0061,0.92395,1.47371,0.14379,0.0618,0.08336,0.0438,2.10677,3.45424,2.5986,0.000125936,0.000125936,0.000125936
54,1101.76,0.9662,0.91251,1.43698,0.10462,0.07191,0.08366,0.04273,2.17178,3.53209,2.65499,0.000119204,0.000119204,0.000119204
55,1126.3,0.9973,0.91724,1.46159,0.09964,0.07135,0.07938,0.03958,2.20358,3.57436,2.68514,0.000112472,0.000112472,0.000112472
56,1150.09,1.01103,0.92142,1.4615,0.11552,0.07297,0.08715,0.04173,2.18116,3.55001,2.6769,0.00010574,0.00010574,0.00010574
57,1174.39,0.96383,0.88849,1.44004,0.11272,0.08202,0.0923,0.04771,2.11623,3.4989,2.64039,9.9008e-05,9.9008e-05,9.9008e-05
58,1198.44,0.94684,0.86206,1.40302,0.13614,0.08202,0.0997,0.05047,2.14943,3.48526,2.64375,9.2276e-05,9.2276e-05,9.2276e-05
59,1222.88,0.95798,0.87199,1.41231,0.10183,0.08652,0.08836,0.04765,2.08928,3.43428,2.59751,8.5544e-05,8.5544e-05,8.5544e-05
60,1246.91,0.94501,0.88196,1.40681,0.10357,0.06629,0.07676,0.03772,2.20885,3.60153,2.71895,7.8812e-05,7.8812e-05,7.8812e-05
61,1272.82,0.84958,0.86607,1.30905,0.09495,0.06966,0.07772,0.04022,2.12929,3.59754,2.6565,7.208e-05,7.208e-05,7.208e-05
62,1296.95,0.81381,0.79501,1.27672,0.15206,0.05506,0.07337,0.03855,2.15828,3.67567,2.66679,6.5348e-05,6.5348e-05,6.5348e-05
63,1320.98,0.80137,0.77612,1.2706,0.11393,0.06172,0.07678,0.03874,2.11861,3.67502,2.65105,5.8616e-05,5.8616e-05,5.8616e-05
64,1345.06,0.80353,0.77422,1.27079,0.09707,0.07046,0.07937,0.04138,2.08219,3.64386,2.59072,5.1884e-05,5.1884e-05,5.1884e-05
65,1369.03,0.80644,0.77381,1.28563,0.10096,0.0691,0.07886,0.04151,2.11376,3.62249,2.61814,4.5152e-05,4.5152e-05,4.5152e-05
66,1393.12,0.75103,0.73406,1.23486,0.08971,0.07528,0.07979,0.04202,2.09593,3.6251,2.60753,3.842e-05,3.842e-05,3.842e-05
67,1416.52,0.75292,0.73562,1.24504,0.14362,0.05843,0.07939,0.0424,2.11019,3.64931,2.61317,3.1688e-05,3.1688e-05,3.1688e-05
68,1439.89,0.75468,0.72429,1.2398,0.09879,0.06685,0.0775,0.04174,2.10891,3.66701,2.60829,2.4956e-05,2.4956e-05,2.4956e-05
69,1463.04,0.82591,0.79577,1.26669,0.09744,0.06742,0.07903,0.04068,2.12684,3.65351,2.62241,1.8224e-05,1.8224e-05,1.8224e-05
70,1486.5,0.78506,0.75819,1.26667,0.09917,0.07022,0.08053,0.04204,2.1179,3.63626,2.6192,1.1492e-05,1.1492e-05,1.1492e-05
