epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5379,1.052,6.88214,1.28061,0.05834,0.35602,0.12621,0.08448,1.42508,3.80287,1.30835,0.000155728,0.000155728,0.000155728
2,50.6893,0.8824,4.32012,1.08701,0.95265,0.06883,0.0921,0.05509,1.45611,3.35141,1.31624,0.00028327,0.00028327,0.00028327
3,69.5231,0.84174,3.7507,1.04026,0.94424,0.12022,0.12628,0.072,1.54484,2.49357,1.35116,0.000379396,0.000379396,0.000379396
4,88.1394,0.82062,3.3256,1.0356,0.95421,0.11854,0.13334,0.08148,1.57703,2.49805,1.45226,0.000334628,0.000334628,0.000334628
5,106.236,0.76678,2.9818,1.01262,0.98649,0.13188,0.15782,0.09507,1.5467,2.25755,1.40686,0.000287504,0.000287504,0.000287504
6,124.817,0.72828,2.72841,0.97752,0.77323,0.14719,0.16695,0.09141,1.6063,2.04013,1.42856,0.00024038,0.00024038,0.00024038
7,143.195,0.69742,2.46397,0.95907,0.7763,0.09607,0.12493,0.0715,1.60414,2.77548,1.43558,0.000193256,0.000193256,0.000193256
8,161.171,0.66557,2.31367,0.94153,0.75686,0.14045,0.15477,0.09134,1.5748,2.10318,1.3897,0.000146132,0.000146132,0.000146132
9,179.537,0.64102,2.13821,0.92956,0.77743,0.13694,0.16693,0.09462,1.5565,2.11672,1.37452,9.9008e-05,9.9008e-05,9.9008e-05
10,197.697,0.62884,2.09378,0.93366,0.76941,0.13687,0.16144,0.09491,1.54214,2.13725,1.36754,5.1884e-05,5.1884e-05,5.1884e-05
