epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0072,1.02658,5.31189,1.22629,0.07296,0.46903,0.15422,0.10156,1.40985,3.64795,1.2353,0.000155728,0.000155728,0.000155728
2,51.3428,0.92391,3.01195,1.13277,0.98131,0.12535,0.16781,0.10141,1.49982,2.7251,1.28375,0.000309949,0.000309949,0.000309949
3,70.96,0.86455,2.37596,1.07169,0.97287,0.12528,0.14754,0.08812,1.56554,2.43454,1.42563,0.000459681,0.000459681,0.000459681
4,89.6875,0.85335,2.22506,1.06188,0.94258,0.11579,0.14894,0.08327,1.77907,2.67586,1.5611,0.000455804,0.000455804,0.000455804
5,108.058,0.83234,1.94906,1.04571,0.97493,0.12543,0.16662,0.09089,1.75156,2.31104,1.56318,0.000449072,0.000449072,0.000449072
6,126.55,0.79043,1.75408,1.01955,0.77242,0.13202,0.15383,0.08322,1.87417,2.16493,1.57658,0.00044234,0.00044234,0.00044234
7,144.99,0.78699,1.63566,1.02795,0.79063,0.14494,0.16807,0.1042,1.68173,2.02761,1.44071,0.000435608,0.000435608,0.000435608
8,163.98,0.77552,1.51028,1.0194,0.77704,0.14295,0.16848,0.09664,1.71762,1.9789,1.45457,0.000428876,0.000428876,0.000428876
9,182.681,0.77447,1.36926,1.01125,0.55402,0.13548,0.14771,0.06794,2.01743,2.17015,1.70997,0.000422144,0.000422144,0.000422144
10,201.359,0.73648,1.26369,0.99749,0.57377,0.13483,0.1567,0.08333,1.80457,2.35304,1.59857,0.000415412,0.000415412,0.000415412
11,219.709,0.78718,1.20599,1.02496,0.36936,0.16124,0.17705,0.09787,1.73589,1.91841,1.45179,0.00040868,0.00040868,0.00040868
12,237.799,0.72109,1.07121,0.98811,0.37817,0.14551,0.17079,0.09079,1.79709,1.90463,1.51299,0.000401948,0.000401948,0.000401948
13,255.977,0.70904,1.0228,0.98578,0.3673,0.13146,0.15586,0.08762,1.78023,2.09223,1.46964,0.000395216,0.000395216,0.000395216
14,274.603,0.69495,0.93793,0.98657,0.37388,0.15112,0.1633,0.09197,1.77855,2.11792,1.55512,0.000388484,0.000388484,0.000388484
15,295.036,0.66993,0.89187,0.96126,0.36952,0.14045,0.16174,0.09145,1.73056,2.12535,1.488,0.000381752,0.000381752,0.000381752
16,313.084,0.66537,0.82287,0.95853,0.37529,0.14775,0.16671,0.09041,1.70354,2.13439,1.41364,0.00037502,0.00037502,0.00037502
17,331.601,0.66943,0.82917,0.96972,0.37428,0.1599,0.17334,0.10226,1.67143,2.21319,1.44753,0.000368288,0.000368288,0.000368288
18,351.298,0.66705,0.75583,0.96126,0.35087,0.15169,0.16631,0.097,1.63728,1.96329,1.38356,0.000361556,0.000361556,0.000361556
19,371.806,0.66851,0.7612,0.96735,0.36557,0.15056,0.16527,0.09023,1.73145,2.06008,1.46492,0.000354824,0.000354824,0.000354824
20,392.314,0.66016,0.6913,0.95226,0.35776,0.17206,0.17833,0.1101,1.57486,1.9817,1.37775,0.000348092,0.000348092,0.000348092
21,410.791,0.65743,0.69614,0.95143,0.38837,0.1618,0.18006,0.10712,1.6519,2.03512,1.40496,0.00034136,0.00034136,0.00034136
22,428.948,0.66843,0.68055,0.95759,0.36031,0.15337,0.16625,0.09463,1.71819,2.05085,1.49003,0.000334628,0.000334628,0.000334628
23,447.196,0.66179,0.65231,0.96361,0.37414,0.11629,0.14584,0.08062,1.76902,2.64402,1.56408,0.000327896,0.000327896,0.000327896
24,465.665,0.64028,0.64482,0.95029,0.3596,0.15056,0.16972,0.09832,1.6699,2.05918,1.41711,0.000321164,0.000321164,0.000321164
25,484.061,0.6502,0.6255,0.96228,0.37032,0.1515,0.16793,0.10035,1.64209,2.19425,1.41533,0.000314432,0.000314432,0.000314432
26,502.88,0.61732,0.57835,0.93954,0.15536,0.13483,0.15223,0.08875,1.70476,2.26384,1.4181,0.0003077,0.0003077,0.0003077
27,521.462,0.66183,0.61022,0.96033,0.14968,0.15042,0.16068,0.08777,1.75202,2.1609,1.48012,0.000300968,0.000300968,0.000300968
28,540.707,0.60858,0.5478,0.93479,0.35805,0.1418,0.15276,0.08189,1.75849,2.40936,1.52199,0.000294236,0.000294236,0.000294236
29,559.159,0.60992,0.538,0.94137,0.17776,0.14551,0.16984,0.09483,1.71296,2.18144,1.49933,0.000287504,0.000287504,0.000287504
