epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,577.786,0.59059,0.52114,0.93147,0.3612,0.14473,0.16485,0.08705,1.81787,2.12492,1.51592,0.000280772,0.000280772,0.000280772
31,596.549,0.61777,0.51774,0.93127,0.16865,0.14438,0.16894,0.09976,1.61244,2.23154,1.39425,0.00027404,0.00027404,0.00027404
32,614.98,0.62523,0.54467,0.95585,0.16748,0.14213,0.16273,0.08927,1.71646,2.47386,1.49142,0.000267308,0.000267308,0.000267308
33,634.956,0.60629,0.51826,0.92724,0.35145,0.11236,0.13485,0.07301,1.69198,2.63824,1.44866,0.000260576,0.000260576,0.000260576
34,653.316,0.59436,0.49138,0.92677,0.16362,0.13034,0.15688,0.08956,1.63086,2.4739,1.41801,0.000253844,0.000253844,0.000253844
35,672.05,0.59061,0.49586,0.93965,0.13921,0.14101,0.1452,0.08109,1.72744,2.38197,1.45273,0.000247112,0.000247112,0.000247112
36,691.386,0.58963,0.49264,0.92554,0.14746,0.16084,0.16101,0.08769,1.808,2.21101,1.51265,0.00024038,0.00024038,0.00024038
37,712.106,0.57058,0.45506,0.92085,0.37811,0.1573,0.17177,0.09649,1.67116,2.14386,1.45476,0.000233648,0.000233648,0.000233648
38,732.565,0.57099,0.44622,0.91044,0.37404,0.15066,0.16489,0.09195,1.76801,2.27659,1.4947,0.000226916,0.000226916,0.000226916
39,751.23,0.57658,0.45506,0.91734,0.16774,0.14775,0.16578,0.09423,1.72002,2.32952,1.48897,0.000220184,0.000220184,0.000220184
40,771.69,0.57515,0.45499,0.9097,0.17585,0.12679,0.15906,0.0926,1.72014,2.58495,1.50764,0.000213452,0.000213452,0.000213452
41,791.425,0.53669,0.42296,0.90589,0.36301,0.14605,0.16333,0.09576,1.69355,2.2751,1.47364,0.00020672,0.00020672,0.00020672
42,809.449,0.548,0.42787,0.89785,0.38075,0.15,0.17183,0.09779,1.75437,2.20335,1.47517,0.000199988,0.000199988,0.000199988
43,827.883,0.5457,0.43084,0.90536,0.36298,0.15843,0.16988,0.09443,1.76254,2.14413,1.47812,0.000193256,0.000193256,0.000193256
44,848.493,0.55327,0.42382,0.90573,0.3661,0.14382,0.16715,0.09427,1.72983,2.20406,1.46202,0.000186524,0.000186524,0.000186524
45,869.549,0.54955,0.42831,0.90372,0.37696,0.15537,0.17317,0.09622,1.74175,2.21663,1.49229,0.000179792,0.000179792,0.000179792
46,889.109,0.53407,0.40633,0.90894,0.37185,0.14745,0.16758,0.09997,1.71508,2.24801,1.47569,0.00017306,0.00017306,0.00017306
47,907.135,0.54142,0.41468,0.90187,0.17573,0.13483,0.15941,0.09059,1.77646,2.4053,1.51583,0.000166328,0.000166328,0.000166328
48,925.124,0.52479,0.38486,0.89217,0.37042,0.14243,0.16313,0.09471,1.70577,2.28033,1.46854,0.000159596,0.000159596,0.000159596
49,942.967,0.54077,0.40224,0.89703,0.34482,0.14597,0.15141,0.08451,1.75308,2.37525,1.47841,0.000152864,0.000152864,0.000152864
50,961.178,0.5326,0.38781,0.9001,0.33582,0.13708,0.14633,0.08235,1.76432,2.60214,1.50844,0.000146132,0.000146132,0.000146132
51,979.228,0.52059,0.39297,0.90564,0.13639,0.14719,0.1501,0.08331,1.78651,2.50207,1.52885,0.0001394,0.0001394,0.0001394
52,997.096,0.50111,0.37664,0.88967,0.13831,0.13258,0.1423,0.07958,1.78626,2.68783,1.53092,0.000132668,0.000132668,0.000132668
53,1015.17,0.52093,0.37744,0.89366,0.35618,0.16018,0.17093,0.0994,1.7006,2.1784,1.46902,0.000125936,0.000125936,0.000125936
54,1035.7,0.49942,0.366,0.88538,0.36007,0.15089,0.16598,0.09382,1.73603,2.366,1.48278,0.000119204,0.000119204,0.000119204
55,1056.24,0.51113,0.3739,0.88591,0.36456,0.14438,0.16239,0.08885,1.80568,2.51126,1.52654,0.000112472,0.000112472,0.000112472
56,1076.27,0.51291,0.37059,0.89214,0.14704,0.1427,0.15939,0.0923,1.72623,2.46687,1.47345,0.00010574,0.00010574,0.00010574
57,1094.27,0.49373,0.36303,0.89128,0.15162,0.14494,0.16329,0.09573,1.68426,2.48178,1.46943,9.9008e-05,9.9008e-05,9.9008e-05
58,1112.27,0.49752,0.35345,0.87219,0.1464,0.14888,0.15765,0.09299,1.71433,2.46642,1.49217,9.2276e-05,9.2276e-05,9.2276e-05
59,1130.27,0.48742,0.35376,0.88799,0.35386,0.13652,0.15402,0.08879,1.74171,2.54151,1.5221,8.5544e-05,8.5544e-05,8.5544e-05
60,1148.31,0.48537,0.35988,0.88445,0.1572,0.14663,0.16422,0.09564,1.71284,2.38676,1.47158,7.8812e-05,7.8812e-05,7.8812e-05
61,1167.81,0.47733,0.357,0.87364,0.37384,0.13371,0.16333,0.09123,1.75332,2.37878,1.51597,7.208e-05,7.208e-05,7.208e-05
62,1187.2,0.44631,0.34219,0.84624,0.38521,0.13367,0.16676,0.09088,1.76808,2.36593,1.52528,6.5348e-05,6.5348e-05,6.5348e-05
63,1206.75,0.45158,0.33828,0.8374,0.37448,0.1382,0.16428,0.08985,1.77533,2.33871,1.51959,5.8616e-05,5.8616e-05,5.8616e-05
64,1224.69,0.44803,0.33652,0.84786,0.35845,0.13712,0.15744,0.08724,1.79468,2.49776,1.54499,5.1884e-05,5.1884e-05,5.1884e-05
65,1242.61,0.44693,0.33112,0.84993,0.15721,0.13416,0.15672,0.08913,1.7575,2.47423,1.51151,4.5152e-05,4.5152e-05,4.5152e-05
66,1260.57,0.43846,0.32181,0.8276,0.15985,0.13258,0.15847,0.09071,1.74291,2.44702,1.5077,3.842e-05,3.842e-05,3.842e-05
67,1278.51,0.43016,0.31821,0.84534,0.15433,0.13989,0.15983,0.0921,1.74267,2.42188,1.50534,3.1688e-05,3.1688e-05,3.1688e-05
68,1296.72,0.41621,0.31066,0.82903,0.15909,0.13984,0.16224,0.09232,1.74874,2.42846,1.51347,2.4956e-05,2.4956e-05,2.4956e-05
69,1315.49,0.43283,0.32565,0.83118,0.15755,0.1418,0.16255,0.09409,1.73269,2.41523,1.50049,1.8224e-05,1.8224e-05,1.8224e-05
70,1334.26,0.42919,0.31673,0.82978,0.1584,0.14326,0.16227,0.09316,1.7427,2.43131,1.50025,1.1492e-05,1.1492e-05,1.1492e-05
